"id_voce","descrizione","mese_riferimento_richiesto"
"BONUS_PRESENTACI_UN_AMICO","Bonus presentaci un amico","false"
"ORDINI_CANCELLATI","Ordini cancellati","false"
"INTEGRAZIONE_CAMBIO_INDIRIZZO","Integrazione per cambio di indirizzo","false"
"TRATTENUTA_NOTIFICA_AZIONI_ESECUTIVE","Trattenuta per notifica di azioni esecutive","false"
"ANNULLAMENTO_TRATTENUTA_AZIONI_ESECUTIVE","Annullamento trattenuta per notifica di azioni esecutive","false"
"COMPENSAZIONE_ORDINI","Compensazione ordini","false"
"ALTRE_INTEGRAZIONI","Altre integrazioni","false"
"INCENTIVO_ORDINI_MINIMI","Incentivo ordini minimi","false"
"INDENNITA_MALTEMPO","Indennità Maltempo","false"
"INDENNITA_NOTTURNI","Indennità Notturni","false"
"INDENNITA_FESTIVI","Indennità Festivi","false"
"BONUS_CCNL_2000_CONSEGNE","Bonus CCNL 2000 consegne","false"
"BONUS_CCNL_4000_CONSEGNE","Bonus CCNL 4000 consegne","false"
"BONUS_CCNL_6000_CONSEGNE","Bonus CCNL 6000 consegne","false"
"BONUS_CONSEGNE","Bonus consegne","false"
"COMPENSAZIONE_ERRORE_SISTEMA","Compensazioni errore di sistema","false"
"RITENUTA_ACCONTO_PERIODO","Ritenuta d'acconto","true"
"IVA_PERIODO","IVA","true"
"INDENNITA_ART_8_2","Indennità art. 8.2","false"
"ASSEMBLEA_SINDACALE","Assemblea Sindacale","false"
"MANCIA_COD_RETTIFICA_FISCALE","Mancia COD (per aggiustamento tassazione)","false"
"RINUNCIA_COMPENSO_CONFLITTO_CONTRATTUALE","Rinuncia al compenso per conflitto contrattuale","false"
"CONTRIBUTO_SALI_MINERALI","Contributo acquisto sali minerali","false"
"CONTRIBUTO_ACQUA","Contributo acquisto acqua","false"
"CONTRIBUTO_BORRACCIA","Contributo acquisto borraccia","false"
"CONGUAGLIO_CONTRIBUTO_CALDO","Conguaglio contributo caldo","true"
"PROSPETTO_ORDINI_CONSEGNATI","Ordini consegnati (inclusi eventuali pagamenti extra)","false"
"PROSPETTO_MODIFICHE_INTEGRAZIONI","Modifiche e integrazioni","false"
"PROSPETTO_MANCE","Mance","false"
"PROSPETTO_TOTALE","Totale","false"
"PROSPETTO_TRATTENUTA_SINDACALE","Trattenuta sindacale","false"
